424,10,,,,,,,,,
h,so2,no2,co,o3,pm10,pm2_5,Casella,Tem,Hum,Grav
13,8,76,0.93,26,33,24,0.1088,26,87.4,0.063
15,8,71,0.97,29,27,20,0.0437,27.3,79.8,0.09
16,9,81,1.124,20,68,19,0.0565,28.1,76,0.174
17,9,83,1.09,20,79,19,0.0832,28.2,78.9,0.15
18,9,77,1.126,14,76,26,0.0991,27.8,81.4,0.154
19,8,58,0.715,19,71,29,0.117,27.7,84,0.164
20,8,52,0.755,16,51,26,0.0814,27.7,84.7,0.13
21,8,34,0.574,16,33,23,0.0551,27.6,84.1,0.089
22,7,24,0.591,20,23,15,0.045,27.3,84.5,0.062
23,7,19,0.343,20,10,13,0.0453,27.1,84.9,0.054
0,7,22,0.356,18,17,15,0.0436,27.2,84,0.054
1,8,24,0.47,13,24,13,0.0485,26.7,87.2,0.033
2,8,21,0.467,15,14,16,0.0505,26.6,88.2,0.035
3,8,18,0.443,21,11,10,0.0589,26.5,88.1,0.035
4,8,30,0.406,30,1,12,0.05,26.1,86.2,0.029
5,8,42,0.413,21,29,11,0.0544,25.4,88.8,0.031
6,8,54,0.716,9,34,17,0.0788,25.7,90.2,0.058
7,9,58,0.859,9,39,20,0.0997,26.3,89.7,0.058
8,8,63,1.051,9,34,22,0.1042,26.6,89.2,0.052
9,8,69,0.973,12,30,25,0.0906,26.8,86.2,0.079
10,8,60,1.026,13,43,21,0.0858,27.4,84.8,0.058
11,8,46,0.891,14,36,23,0.0787,28.3,83.7,0.059
12,8,48,0.808,18,28,19,0.0629,28.9,80.8,0.09
13,7,56,0.716,37,37,16,0.0663,29.4,78.3,0.12
14,8,61,0.809,33,54,22,0.0687,29.3,77.7,0.12
